Common Name,Systematic Name
FMP23,YBR047W
FMP25,YLR077W
FMP27,YLR454W
FMP30,YPL103C
FMP32,YFL046W
FMP33,YJL161W
FMP37,YGL080W
FMP40,YPL222W
FMP41,YNL168C
FMP42,YMR221C
FMP43,YGR243W
FMP45,YDL222C
FMP46,YKR049C
FMP48,YGR052W
FMP52,YER004W
FMS1,YMR020W
FMT1,YBL013W
FOB1,YDR110W
FOL1,YNL256W
FOL2,YGR267C
FOL3,YMR113W
FOX2,YKR009C
FPK1,YNR047W
FPR1,YNL135C
FPR2,YDR519W
FPR3,YML074C
FPR4,YLR449W
FPS1,YLL043W
FRA1,YLL029W
FRA2,YGL220W
FRD1,YEL047C
FRE1,YLR214W
FRE2,YKL220C
FRE3,YOR381W
FRE4,YNR060W
FRE5,YOR384W
FRE6,YLL051C
FRE7,YOL152W
FRE8,YLR047C
FRK1,YPL141C
FRM2,YCL026C-A
FRQ1,YDR373W
FRS1,YLR060W
FRS2,YFL022C
FRT1,YOR324C
FRT2,YAL028W
FSF1,YOR271C
FSH1,YHR049W
FSH2,YMR222C
FSH3,YOR280C
FTH1,YBR207W
FTR1,YER145C
FUB1,YCR076C
FUI1,YBL042C
FUM1,YPL262W
FUN12,YAL035W
FUN14,YAL008W
FUN19,YAL034C
FUN26,YAL022C
FUN30,YAL019W
FUR1,YHR128W
FUR4,YBR021W
FUS1,YCL027W
FUS2,YMR232W
FUS3,YBL016W
FYV1,YDR024W
FYV10,YIL097W
FYV12,YOR183W
FYV4,YHR059W
FYV5,YCL058C
FYV6,YNL133C
FYV7,YLR068W
FYV8,YGR196C
FZF1,YGL254W
FZO1,YBR179C
GAA1,YLR088W
GAB1,YLR459W
GAC1,YOR178C
GAD1,YMR250W
GAL1,YBR020W
GAL10,YBR019C
GAL11,YOL051W
GAL2,YLR081W
GAL3,YDR009W
GAL4,YPL248C
GAL7,YBR018C
GAL80,YML051W
GAL83,YER027C
GAP1,YKR039W
GAR1,YHR089C
GAS1,YMR307W
GAS2,YLR343W
GAS3,YMR215W
GAS4,YOL132W
GAS5,YOL030W
GAT1,YFL021W
GAT2,YMR136W
GAT3,YLR013W
GAT4,YIR013C
GBP2,YCL011C
GCD1,YOR260W
GCD10,YNL062C
GCD11,YER025W
GCD14,YJL125C
GCD2,YGR083C
GCD6,YDR211W
GCD7,YLR291C
GCG1,YER163C
GCN1,YGL195W
GCN2,YDR283C
GCN20,YFR009W
GCN3,YKR026C
GCN4,YEL009C
GCN5,YGR252W
GCR1,YPL075W
GCR2,YNL199C
GCS1,YDL226C
GCV1,YDR019C
GCV2,YMR189W
GCV3,YAL044C
GCY1,YOR120W
GDA1,YEL042W
GDB1,YPR184W
GDE1,YPL110C
GDH1,YOR375C
GDH2,YDL215C
GDH3,YAL062W
GDI1,YER136W
GDS1,YOR355W
GDT1,YBR187W
GEA1,YJR031C
GEA2,YEL022W
GEF1,YJR040W
GEM1,YAL048C
GEP3,YOR205C
GEP4,YHR100C
GEP5,YLR091W
GEP7,YGL057C
GET1,YGL020C
GET2,YER083C
GET3,YDL100C
GET4,YOR164C
GEX1,YCL073C
GEX2,YKR106W
GFA1,YKL104C
GFD1,YMR255W
GFD2,YCL036W
GGA1,YDR358W
GGA2,YHR108W
GGC1,YDL198C
GIC1,YHR061C
GIC2,YDR309C
GID7,YCL039W
GID8,YMR135C
GIM3,YNL153C
GIM4,YEL003W
GIM5,YML094W
GIN4,YDR507C
GIP1,YBR045C
GIP2,YER054C
GIP3,YPL137C
GIP4,YAL031C
GIR2,YDR152W
GIS1,YDR096W
GIS2,YNL255C
GIS3,YLR094C
GIS4,YML006C
GIT1,YCR098C
GLC3,YEL011W
GLC7,YER133W
GLC8,YMR311C
GLE1,YDL207W
GLE2,YER107C
GLG1,YKR058W
GLG2,YJL137C
GLK1,YCL040W
GLN1,YPR035W
GLN3,YER040W
GLN4,YOR168W
GLO1,YML004C
GLO2,YDR272W
GLO3,YER122C
GLO4,YOR040W
GLR1,YPL091W
GLT1,YDL171C
GLY1,YEL046C
GMC1,YDR506C
GMC2,YLR445W
GMH1,YKR030W
GNA1,YFL017C
GND1,YHR183W
GND2,YGR256W
GNP1,YDR508C
GNT1,YOR320C
GON7,YJL184W
GOR1,YNL274C
GOS1,YHL031C
GOT1,YMR292W
GPA1,YHR005C
GPA2,YER020W
GPB1,YOR371C
GPB2,YAL056W
GPD1,YDL022W
GPD2,YOL059W
GPG1,YGL121C
GPH1,YPR160W
GPI1,YGR216C
GPI10,YGL142C
GPI11,YDR302W
GPI12,YMR281W
GPI13,YLL031C
GPI14,YJR013W
GPI15,YNL038W
GPI16,YHR188C
GPI17,YDR434W
GPI18,YBR004C
GPI19,YDR437W
GPI2,YPL076W
GPI8,YDR331W
GPM1,YKL152C
GPM2,YDL021W
GPM3,YOL056W
GPN2,YOR262W
GPN3,YLR243W
GPR1,YDL035C
GPT2,YKR067W
GPX1,YKL026C
GPX2,YBR244W
GRC3,YLL035W
GRE1,YPL223C
GRE2,YOL151W
GRE3,YHR104W
GRH1,YDR517W
GRR1,YJR090C
GRS1,YBR121C
GRS2,YPR081C
GRX1,YCL035C
GRX2,YDR513W
GRX3,YDR098C
GRX4,YER174C
GRX5,YPL059W
GRX6,YDL010W
GRX7,YBR014C
GRX8,YLR364W
GSC2,YGR032W
GSF2,YML048W
GSH1,YJL101C
GSH2,YOL049W
GSM1,YJL103C
GSP1,YLR293C
GSP2,YOR185C
GSY1,YFR015C
GSY2,YLR258W
GTB1,YDR221W
GTF1,YGR102C
GTO1,YGR154C
GTO3,YMR251W
GTR1,YML121W
GTR2,YGR163W
GTS1,YGL181W
GTT1,YIR038C
GTT2,YLL060C
GTT3,YEL017W
GUA1,YMR217W
GUD1,YDL238C
GUF1,YLR289W
GUK1,YDR454C
GUP1,YGL084C
GUP2,YPL189W
GUS1,YGL245W
GUT1,YHL032C
GUT2,YIL155C
GVP36,YIL041W
GWT1,YJL091C
GYL1,YMR192W
GYP1,YOR070C
GYP5,YPL249C
GYP6,YJL044C
GYP7,YDL234C
GYP8,YFL027C
GZF3,YJL110C
HAA1,YPR008W
HAC1,YFL031W
HAL1,YPR005C
HAL5,YJL165C
HAL9,YOL089C
HAM1,YJR069C
HAP1,YLR256W
HAP2,YGL237C
HAP3,YBL021C
HAP4,YKL109W
HAP5,YOR358W
HAS1,YMR290C
HAT1,YPL001W
HAT2,YEL056W
HBN1,YCL026C-B
HBS1,YKR084C
HBT1,YDL223C
HCA4,YJL033W
HCH1,YNL281W
HCM1,YCR065W
HCR1,YLR192C
HCS1,YKL017C
HDA1,YNL021W
HDA2,YDR295C
HDA3,YPR179C
HED1,YDR014W-A
HEF3,YNL014W
HEH2,YDR458C
HEK2,YBL032W
HEL1,YKR017C
HEL2,YDR266C
HEM1,YDR232W
HEM12,YDR047W
HEM13,YDR044W
HEM14,YER014W
HEM15,YOR176W
HEM2,YGL040C
HEM3,YDL205C
HEM4,YOR278W
HER1,YOR227W
HER2,YMR293C
HES1,YOR237W
HFA1,YMR207C
HFD1,YMR110C
HFI1,YPL254W
HFM1,YGL251C
HGH1,YGR187C
HHF1,YBR009C
HHF2,YNL030W
HHO1,YPL127C
HHT1,YBR010W
HHT2,YNL031C
HIF1,YLL022C
HIM1,YDR317W
HIP1,YGR191W
HIR1,YBL008W
HIR2,YOR038C
HIR3,YJR140C
HIS1,YER055C
HIS2,YFR025C
HIS3,YOR202W
HIS4,YCL030C
HIS5,YIL116W
HIS6,YIL020C
HIS7,YBR248C
HIT1,YJR055W
HKR1,YDR420W
HLJ1,YMR161W
HLR1,YDR528W
HMF1,YER057C
HMG1,YML075C
HMG2,YLR450W
HMI1,YOL095C
HMLALPHA1,YCL066W
HMLALPHA2,YCL067C
HMO1,YDR174W
HMRA1,YCR097W
HMRA2,YCR096C
HMS1,YOR032C
HMS2,YJR147W
HMT1,YBR034C
HMX1,YLR205C
HNM1,YGL077C
HNT1,YDL125C
HNT2,YDR305C
HNT3,YOR258W
Ho,YDL227C
HOC1,YJR075W
HOF1,YMR032W
HOG1,YLR113W
HOL1,YNR055C
HOM2,YDR158W
HOM3,YER052C
HOM6,YJR139C
HOP1,YIL072W
HOP2,YGL033W
HOR2,YER062C
HOR7,YMR251W-A
HOS1,YPR068C
HOS2,YGL194C
HOS3,YPL116W
HOS4,YIL112W
HOT1,YMR172W
HOT13,YKL084W
HPA2,YPR193C
HPA3,YEL066W
HPC2,YBR215W
HPF1,YOL155C
HPM1,YIL110W
HPR1,YDR138W
HPT1,YDR399W
HRB1,YNL004W
HRD1,YOL013C
HRD3,YLR207W
HRI1,YLR301W
HRK1,YOR267C
HRP1,YOL123W
HRQ1,YDR291W
HRR25,YPL204W
HRT1,YOL133W
HRT3,YLR097C
HSC82,YMR186W
HSE1,YHL002W
HSF1,YGL073W
HSH155,YMR288W
HSH49,YOR319W
HSK3,YKL138C-A
HSL1,YKL101W
HSL7,YBR133C
HSM3,YBR272C
HSP10,YOR020C
HSP104,YLL026W
HSP12,YFL014W
HSP150,YJL159W
HSP26,YBR072W
HSP30,YCR021C
HSP31,YDR533C
HSP32,YPL280W
HSP33,YOR391C
HSP42,YDR171W
HSP60,YLR259C
HSP78,YDR258C
HSP82,YPL240C
HST1,YOL068C
HST2,YPL015C
HST3,YOR025W
HST4,YDR191W
HSV2,YGR223C
HTA1,YDR225W
HTA2,YBL003C
HTB1,YDR224C
HTB2,YBL002W
HTD2,YHR067W
HTL1,YCR020W-B
HTS1,YPR033C
HTZ1,YOL012C
HUA1,YGR268C
HUA2,YOR284W
HUB1,YNR032C-A
HUG1,YML058W-A
HUL4,YJR036C
HUL5,YGL141W
HUR1,YGL168W
HUT1,YPL244C
HVG1,YER039C
HXK1,YFR053C
HXK2,YGL253W
HXT1,YHR094C
HXT10,YFL011W
HXT11,YOL156W
HXT12,YIL170W
HXT13,YEL069C
HXT14,YNL318C
HXT15,YDL245C
HXT16,YJR158W
HXT17,YNR072W
HXT2,YMR011W
HXT3,YDR345C
HXT4,YHR092C
HXT5,YHR096C
HXT6,YDR343C
HXT7,YDR342C
HXT8,YJL214W
HXT9,YJL219W
HYM1,YKL189W
HYP2,YEL034W
HYR1,YIR037W
IAH1,YOR126C
IBA57,YJR122W
IBD2,YNL164C
ICE2,YIL090W
ICL1,YER065C
ICL2,YPR006C
ICP55,YER078C
ICS2,YBR157C
ICS3,YJL077C
ICT1,YLR099C
ICY1,YMR195W
ICY2,YPL250C
IDH1,YNL037C
IDH2,YOR136W
IDI1,YPL117C
IDP1,YDL066W
IDP2,YLR174W
IDP3,YNL009W
IDS2,YJL146W
IES1,YFL013C
IES2,YNL215W
IES3,YLR052W
IES4,YOR189W
IES5,YER092W
IES6,YEL044W
IFA38,YBR159W
IFH1,YLR223C
IFM1,YOL023W
IGD1,YFR017C
IGO1,YNL157W
IGO2,YHR132W-A
IKI1,YHR187W
IKI3,YLR384C
IKS1,YJL057C
ILM1,YJR118C
ILS1,YBL076C
ILV1,YER086W
ILV2,YMR108W
ILV3,YJR016C
ILV5,YLR355C
ILV6,YCL009C
IMA1,YGR287C
IMA2,YOL157C
IMA3,YIL172C
IMA4,YJL221C
IMA5,YJL216C
IMD1,YAR073W
IMD2,YHR216W
IMD3,YLR432W
IMD4,YML056C
IME1,YJR094C
IME2,YJL106W
IME4,YGL192W
IMG1,YCR046C
IMG2,YCR071C
IMH1,YLR309C
IML1,YJR138W
IML2,YJL082W
IML3,YBR107C
IMO32,YGR031W
IMP1,YMR150C
IMP2,YMR035W
IMP2',YIL154C
IMP3,YHR148W
IMP4,YNL075W
INH1,YDL181W
INM1,YHR046C
INM2,YDR287W
INN1,YNL152W
INO1,YJL153C
INO2,YDR123C
INO4,YOL108C
INO80,YGL150C
INP1,YMR204C
INP2,YMR163C
INP51,YIL002C
INP52,YNL106C
INP53,YOR109W
INP54,YOL065C
IOC2,YLR095C
IOC3,YFR013W
IOC4,YMR044W
IPI1,YHR085W
IPI3,YNL182C
IPK1,YDR315C
IPL1,YPL209C
IPP1,YBR011C
IPT1,YDR072C
IQG1,YPL242C
IRA1,YBR140C
IRA2,YOL081W
IRC10,YOL015W
IRC15,YPL017C
IRC18,YJL037W
IRC19,YLL033W
IRC20,YLR247C
IRC21,YMR073C
IRC22,YEL001C
IRC23,YOR044W
IRC24,YIR036C
IRC25,YLR021W
IRC3,YDR332W
IRC4,YDR540C
IRC5,YFR038W
IRC6,YFR043C
IRC7,YFR055W
IRC8,YJL051W
IRE1,YHR079C
IRR1,YIL026C
IRS4,YKR019C
ISA1,YLL027W
ISA2,YPR067W
ISC1,YER019W
ISC10,YER180C
ISD11,YER048W-A
ISF1,YMR081C
ISM1,YPL040C
ISN1,YOR155C
ISR1,YPR106W
IST1,YNL265C
IST2,YBR086C
IST3,YIR005W
ISU1,YPL135W
ISU2,YOR226C
ISW1,YBR245C
ISW2,YOR304W
ISY1,YJR050W
ITC1,YGL133W
ITR1,YDR497C
ITR2,YOL103W
ITT1,YML068W
IVY1,YDR229W
IWR1,YDL115C
IXR1,YKL032C
IZH1,YDR492W
IZH2,YOL002C
IZH3,YLR023C
IZH4,YOL101C
JAC1,YGL018C
JEM1,YJL073W
JEN1,YKL217W
JHD1,YER051W
JHD2,YJR119C
JID1,YPR061C
JIP4,YDR475C
JIP5,YPR169W
JJJ1,YNL227C
JJJ2,YJL162C
JJJ3,YJR097W
JLP1,YLL057C
JLP2,YMR132C
JNM1,YMR294W
JSN1,YJR091C
KAE1,YKR038C
KAP104,YBR017C
KAP114,YGL241W
KAP120,YPL125W
KAP122,YGL016W
KAP123,YER110C
KAP95,YLR347C
KAR1,YNL188W
KAR2,YJL034W
KAR3,YPR141C
KAR4,YCL055W
KAR5,YMR065W
KAR9,YPL269W
KCC4,YCL024W
KCH1,YJR054W
KCS1,YDR017C
KDX1,YKL161C
KEG1,YFR042W
KEI1,YDR367W
KEL1,YHR158C
KEL2,YGR238C
KEL3,YPL263C
KES1,YPL145C
KEX1,YGL203C
KEX2,YNL238W
KGD1,YIL125W
KGD2,YDR148C
KHA1,YJL094C
KIC1,YHR102W
KIN1,YDR122W
KIN2,YLR096W
KIN28,YDL108W
KIN3,YAR018C
KIN4,YOR233W
KIN82,YCR091W
KIP1,YBL063W
KIP2,YPL155C
KIP3,YGL216W
KKQ8,YKL168C
KNH1,YDL049C
KNS1,YLL019C
KOG1,YHR186C
KRE1,YNL322C
KRE2,YDR483W
KRE28,YDR532C
KRE29,YER038C
KRE33,YNL132W
KRE5,YOR336W
KRE6,YPR159W
KRE9,YJL174W
KRI1,YNL308C
KRR1,YCL059C
KRS1,YDR037W
KSH1,YNL024C-A
KSP1,YHR082C
KSS1,YGR040W
KTI11,YBL071W-A
KTI12,YKL110C
KTR1,YOR099W
KTR2,YKR061W
KTR3,YBR205W
KTR4,YBR199W
KTR5,YNL029C
KTR6,YPL053C
KTR7,YIL085C
KXD1,YGL079W
LAA1,YJL207C
LAC1,YKL008C
LAG1,YHL003C
LAG2,YOL025W
LAP2,YNL045W
LAP3,YNL239W
LAS1,YKR063C
LAS17,YOR181W
LAS21,YJL062W
LAT1,YNL071W
LCB1,YMR296C
LCB2,YDR062W
LCB3,YJL134W
LCB4,YOR171C
LCB5,YLR260W
LCD1,YDR499W
LCL1,YPL056C
LCL2,YLR104W
LCL3,YGL085W
LCP5,YER127W
LDB16,YCL005W
LDB17,YDL146W
LDB18,YLL049W
LDB19,YOR322C
LDB7,YBL006C
LDH1,YBR204C
LEA1,YPL213W
LEE1,YPL054W
LEM3,YNL323W
LEO1,YOR123C
LEU1,YGL009C
LEU2,YCL018W
LEU3,YLR451W
LEU4,YNL104C
LEU5,YHR002W
LEU9,YOR108W
LGE1,YPL055C
LHP1,YDL051W
LHS1,YKL073W
LIA1,YJR070C
LIF1,YGL090W
LIN1,YHR156C
LIP1,YMR298W
LIP2,YLR239C
LIP5,YOR196C
LNP1,YHR192W
LOA1,YPR139C
LOC1,YFR001W
LOH1,YJL038C
LOS1,YKL205W
LOT5,YKL183W
LOT6,YLR011W
LPD1,YFL018C
LPP1,YDR503C
LPX1,YOR084W
LRE1,YCL051W
LRG1,YDL240W
LRO1,YNR008W
LRP1,YHR081W
LRS4,YDR439W
LSB1,YGR136W
LSB3,YFR024C-A
LSB5,YCL034W
LSB6,YJL100W
LSC1,YOR142W
LSC2,YGR244C
LSG1,YGL099W
LSM1,YJL124C
LSM12,YHR121W
LSM2,YBL026W
LSM3,YLR438C-A
LSM4,YER112W
LSM5,YER146W
LSM6,YDR378C
LSM7,YNL147W
LSM8,YJR022W
LSP1,YPL004C
LST4,YKL176C
LST7,YGR057C
LST8,YNL006W
LTE1,YAL024C
LTO1,YNL260C
LTP1,YPR073C
LTV1,YKL143W
LUC7,YDL087C
LYP1,YNL268W
LYS1,YIR034C
LYS12,YIL094C
LYS14,YDR034C
LYS2,YBR115C
LYS20,YDL182W
LYS21,YDL131W
LYS4,YDR234W
LYS5,YGL154C
LYS9,YNR050C
MAC1,YMR021C
MAD1,YGL086W
MAD2,YJL030W
MAD3,YJL013C
MAE1,YKL029C
MAF1,YDR005C
MAG1,YER142C
MAG2,YLR427W
MAK10,YEL053C
MAK11,YKL021C
MAK16,YAL025C
MAK21,YDR060W
MAK3,YPR051W
MAK31,YCR020C-A
MAK32,YCR019W
MAK5,YBR142W
MAL11,YGR289C
MAL12,YGR292W
MAL13,YGR288W
MAL31,YBR298C
MAL32,YBR299W
MAL33,YBR297W
MAM1,YER106W
MAM3,YOL060C
MAM33,YIL070C
MAP1,YLR244C
MAP2,YBL091C
MAS1,YLR163C
MAS2,YHR024C
MATALPHA1,YCR040W
MATALPHA2,YCR039C
MBA1,YBR185C
MBF1,YOR298C-A
MBP1,YDL056W
MBR1,YKL093W
MCA1,YOR197W
MCD1,YDL003W
MCD4,YKL165C
MCH1,YDL054C
MCH2,YKL221W
MCH4,YOL119C
MCH5,YOR306C
MCK1,YNL307C
MCM1,YMR043W
MCM10,YIL150C
MCM16,YPR046W
MCM2,YBL023C
MCM21,YDR318W
MCM22,YJR135C
MCM3,YEL032W
MCM4,YPR019W
MCM5,YLR274W
MCM6,YGL201C
MCM7,YBR202W
MCR1,YKL150W
MCT1,YOR221C
MCX1,YBR227C
MDE1,YJR024C
MDG1,YNL173C
MDH1,YKL085W
MDH2,YOL126C
MDH3,YDL078C
MDJ1,YFL016C
MDJ2,YNL328C
MDL1,YLR188W
MDL2,YPL270W
MDM1,YML104C
MDM10,YAL010C
MDM12,YOL009C
MDM20,YOL076W
MDM30,YLR368W
MDM31,YHR194W
MDM32,YOR147W
MDM34,YGL219C
MDM35,YKL053C-A
MDM36,YPR083W
MDM38,YOL027C
MDN1,YLR106C
MDR1,YGR100W
MDS3,YGL197W
MDV1,YJL112W
MDY2,YOL111C
MEC1,YBR136W
MEC3,YLR288C
MED1,YPR070W
MED11,YMR112C
MED2,YDL005C
MED4,YOR174W
MED6,YHR058C
MED7,YOL135C
MED8,YBR193C
MEF1,YLR069C
MEF2,YJL102W
MEH1,YKR007W
MEI4,YER044C-A
MEI5,YPL121C
MEK1,YOR351C
MEP1,YGR121C
MEP2,YNL142W
MEP3,YPR138C
MER1,YNL210W
MES1,YGR264C
MET1,YKR069W
MET10,YFR030W
MET12,YPL023C
MET13,YGL125W
MET14,YKL001C
MET16,YPR167C
MET17,YLR303W
MET18,YIL128W
MET2,YNL277W
MET22,YOL064C
MET28,YIR017C
MET3,YJR010W
MET30,YIL046W
MET31,YPL038W
MET32,YDR253C
MET4,YNL103W
MET5,YJR137C
MET6,YER091C
MET7,YOR241W
MET8,YBR213W
MEU1,YLR017W
MEX67,YPL169C
MF(ALPHA)1,YPL187W
MF(ALPHA)2,YGL089C
MFA1,YDR461W
MFA2,YNL145W
MFB1,YDR219C
MFG1,YDL233W
MFM1,YPL060W
MFT1,YML062C
MGA1,YGR249W
MGA2,YIR033W
MGE1,YOR232W
MGM1,YOR211C
MGM101,YJR144W
MGR1,YCL044C
MGR2,YPL098C
MGR3,YMR115W
MGS1,YNL218W
MGT1,YDL200C
MHF1,YOL086W-A
MHF2,YDL160C-A
MHO1,YJR008W
MHP1,YJL042W
MHR1,YDR296W
MHT1,YLL062C
MIA40,YKL195W
MIC14,YDR031W
MIC17,YMR002W
MIC23,YBL107C
MID1,YNL291C
MID2,YLR332W
MIF2,YKL089W
MIG1,YGL035C
MIG2,YGL209W
MIG3,YER028C
MIH1,YMR036C
MIM1,YOL026C
MIM2,YLR099W-A
MIP1,YOR330C
MIP6,YHR015W
MIR1,YJR077C
MIS1,YBR084W
MIT1,YEL007W
MKC7,YDR144C
MKK1,YOR231W
MKK2,YPL140C
MKS1,YNL076W
MKT1,YNL085W
MLC1,YGL106W
MLC2,YPR188C
MLF3,YNL074C
MLH1,YMR167W
MLH2,YLR035C
MLH3,YPL164C
MLP1,YKR095W
MLP2,YIL149C
MLS1,YNL117W
MMF1,YIL051C
MMM1,YLL006W
MMP1,YLL061W
MMR1,YLR190W
MMS1,YPR164W
MMS2,YGL087C
MMS21,YEL019C
MMS22,YLR320W
MMS4,YBR098W
MMT1,YMR177W
MMT2,YPL224C
MND1,YGL183C
MND2,YIR025W
MNE1,YOR350C
MNL1,YHR204W
MNL2,YLR057W
MNN1,YER001W
MNN10,YDR245W
MNN11,YJL183W
MNN2,YBR015C
MNN4,YKL201C
MNN5,YJL186W
MNN9,YPL050C
MNP1,YGL068W
MNR2,YKL064W
MNS1,YJR131W
MNT2,YGL257C
MNT3,YIL014W
MNT4,YNR059W
MOB1,YIL106W
MOB2,YFL034C-B
MOD5,YOR274W
MOG1,YJR074W
MOH1,YBL049W
MON1,YGL124C
MON2,YNL297C
MOS1,YCL057C-A
MOS2,YGR235C
MOT1,YPL082C
MOT2,YER068W
MOT3,YMR070W
MPA43,YNL249C
MPC2,YHR162W
MPC54,YOR177C
MPD1,YOR288C
MPD2,YOL088C
MPE1,YKL059C
MPH1,YIR002C
MPH2,YDL247W
MPH3,YJR160C
MPM1,YJL066C
MPP10,YJR002W
MPP6,YNR024W
MPS1,YDL028C
MPS2,YGL075C
MPS3,YJL019W
MPT5,YGL178W
MRC1,YCL061C
MRD1,YPR112C
MRE11,YMR224C
MRF1,YGL143C
MRH1,YDR033W
MRH4,YGL064C
MRI1,YPR118W
MRK1,YDL079C
MRL1,YPR079W
MRM1,YOR201C
MRM2,YGL136C
MRN1,YPL184C
MRP1,YDR347W
MRP10,YDL045W-A
MRP13,YGR084C
MRP17,YKL003C
MRP2,YPR166C
MRP20,YDR405W
MRP21,YBL090W
MRP4,YHL004W
MRP49,YKL167C
MRP51,YPL118W
MRP7,YNL005C
MRP8,YKL142W
MRPL1,YDR116C
MRPL10,YNL284C
MRPL11,YDL202W
MRPL13,YKR006C
MRPL15,YLR312W-A
MRPL16,YBL038W
MRPL17,YNL252C
MRPL19,YNL185C
MRPL20,YKR085C
MRPL22,YNL177C
MRPL23,YOR150W
MRPL24,YMR193W
MRPL25,YGR076C
MRPL27,YBR282W
MRPL28,YDR462W
MRPL3,YMR024W
MRPL31,YKL138C
MRPL32,YCR003W
MRPL33,YMR286W
MRPL35,YDR322W
MRPL36,YBR122C
MRPL37,YBR268W
MRPL38,YKL170W
MRPL39,YML009C
MRPL4,YLR439W
MRPL40,YPL173W
MRPL44,YMR225C
MRPL49,YJL096W
MRPL50,YNR022C
MRPL51,YPR100W
MRPL6,YHR147C
MRPL7,YDR237W
MRPL8,YJL063C
MRPL9,YGR220C
MRPS12,YNR036C
MRPS16,YPL013C
MRPS17,YMR188C
MRPS18,YNL306W
MRPS28,YDR337W
MRPS35,YGR165W
MRPS5,YBR251W
MRPS8,YMR158W
MRPS9,YBR146W
MRS1,YIR021W
MRS2,YOR334W
MRS3,YJL133W
MRS4,YKR052C
MRS6,YOR370C
MRT4,YKL009W
MSA1,YOR066W
MSA2,YKR077W
MSB1,YOR188W
MSB2,YGR014W
MSB3,YNL293W
MSB4,YOL112W
MSC1,YML128C
MSC2,YDR205W
MSC3,YLR219W
MSC6,YOR354C
MSC7,YHR039C
MSD1,YPL104W
MSE1,YOL033W
MSF1,YPR047W
MSG5,YNL053W
MSH1,YHR120W
MSH2,YOL090W
MSH3,YCR092C
MSH4,YFL003C
MSH5,YDL154W
MSH6,YDR097C
MSI1,YBR195C
MSK1,YNL073W
MSL1,YIR009W
MSL5,YLR116W
MSM1,YGR171C
MSN1,YOL116W
MSN2,YMR037C
MSN4,YKL062W
MSN5,YDR335W
MSO1,YNR049C
MSP1,YGR028W
MSR1,YHR091C
MSS1,YMR023C
MSS11,YMR164C
MSS116,YDR194C
MSS18,YPR134W
MSS2,YDL107W
MSS4,YDR208W
MSS51,YLR203C
MST1,YKL194C
MST27,YGL051W
MST28,YAR033W
MSW1,YDR268W
MSY1,YPL097W
MTC1,YJL123C
MTC2,YKL098W
MTC3,YGL226W
MTC4,YBR255W
MTC5,YDR128W
MTC6,YHR151C
MTC7,YEL033W
MTD1,YKR080W
MTF1,YMR228W
MTF2,YDL044C
MTG1,YMR097C
MTG2,YHR168W
MTH1,YDR277C
MTL1,YGR023W
MTM1,YGR257C
MTO1,YGL236C
MTQ1,YNL063W
MTQ2,YDR140W
MTR10,YOR160W
MTR2,YKL186C
MTR3,YGR158C
MTR4,YJL050W
MTW1,YAL034W-A
MUB1,YMR100W
MUD1,YBR119W
MUD2,YKL074C
MUK1,YPL070W
MUM2,YBR057C
MUM3,YOR298W
MUP1,YGR055W
MUP3,YHL036W
MUS81,YDR386W
MVB12,YGR206W
MVD1,YNR043W
MVP1,YMR004W
MXR1,YER042W
MXR2,YCL033C
MYO1,YHR023W
MYO2,YOR326W
MYO3,YKL129C
MYO4,YAL029C
MYO5,YMR109W
MZM1,YDR493W
NAB2,YGL122C
NAB3,YPL190C
NAB6,YML117W
NAF1,YNL124W
NAG1,YGR031C-A
NAM2,YLR382C
NAM7,YMR080C
NAM8,YHR086W
NAM9,YNL137C
NAN1,YPL126W
NAP1,YKR048C
NAR1,YNL240C
NAS2,YIL007C
NAS6,YGR232W
NAT1,YDL040C
NAT2,YGR147C
NAT3,YPR131C
NAT4,YMR069W
NAT5,YOR253W
NBA1,YOL070C
NBL1,YHR199C-A
NBP1,YLR457C
NBP2,YDR162C
NBP35,YGL091C
NCA2,YPR155C
NCA3,YJL116C
NCB2,YDR397C
NCE101,YJL205C
NCE102,YPR149W
NCE103,YNL036W
NCL1,YBL024W
NCP1,YHR042W
NCR1,YPL006W
NCS2,YNL119W
NCS6,YGL211W
NDC1,YML031W
NDD1,YOR372C
NDE1,YMR145C
NDE2,YDL085W
NDI1,YML120C
NDJ1,YOL104C
NDL1,YLR254C
NDT80,YHR124W
NEJ1,YLR265C
NEM1,YHR004C
NEO1,YIL048W
NET1,YJL076W
NEW1,YPL226W
NFI1,YOR156C
NFS1,YCL017C
NFT1,YKR103W
NFU1,YKL040C
NGG1,YDR176W
NGL1,YOL042W
NGL2,YMR285C
NGL3,YML118W
NGR1,YBR212W
NHA1,YLR138W
NHP10,YDL002C
NHP2,YDL208W
NHP6a,YPR052C
NHP6A,YPR052C
NHP6b,YBR089C-A
NHX1,YDR456W
NIC96,YFR002W
NIF3,YGL221C
NIP1,YMR309C
NIP100,YPL174C
NIP7,YPL211W
NIS1,YNL078W
NIT1,YIL164C
NIT2,YJL126W
NIT3,YLR351C
NKP1,YDR383C
NKP2,YLR315W
NMA1,YLR328W
NMA111,YNL123W
NMA2,YGR010W
NMD2,YHR077C
NMD3,YHR170W
NMD4,YLR363C
NMD5,YJR132W
NMT1,YLR195C
NNF1,YJR112W
NNF2,YGR089W
NNK1,YKL171W
NNT1,YLR285W
NOB1,YOR056C
NOC2,YOR206W
NOC3,YLR002C
NOC4,YPR144C
NOG1,YPL093W
